nu, theta0, theta1, theta2, theta3, theta4, theta5, theta6, theta7, theta8, theta9, theta10, theta11, theta12, theta13, theta14, theta15, theta16, theta17, theta18, theta19, theta20, theta21, theta22, theta23, theta24, theta25, theta26, theta27, theta28, theta29, theta30, theta31, theta32, theta33, theta34, theta35, theta36, theta37, theta38, theta39, theta40, theta41, theta42, theta43, theta44, theta45, theta46, theta47, theta48, theta49, theta50, theta51, theta52, theta53, theta54, theta55, theta56, theta57, theta58, theta59, theta60, theta61, theta62, theta63, theta64, theta65, theta66, theta67, theta68, theta69, theta70, theta71, theta72, theta73, theta74, theta75, theta76, theta77, theta78, theta79, theta80, theta81, theta82, theta83, theta84, theta85, theta86, theta87, theta88, theta89, theta90, theta91, theta92, theta93, theta94, theta95, theta96, theta97, theta98, theta99
0,0.17641,0.03999,0.09775,0.22382,0.18628,-0.09847,0.09394,-0.01659,-0.01221,0.03869,0.01150,0.14193,0.07198,0.00736,0.03886,0.02709,0.14234,-0.02841,0.02256,-0.09503,-0.26582,0.05392,0.07407,-0.08754,0.21270,-0.16067,-0.01161,-0.03586,0.13520,0.12792,-0.00444,0.01698,-0.11049,-0.22065,-0.05818,-0.00855,0.09809,0.09458,-0.06506,-0.05719,-0.13240,-0.17009,-0.19920,0.16607,-0.08035,-0.07352,-0.15526,0.04756,-0.19173,-0.05170,-0.12000,0.00826,-0.08142,-0.14825,-0.03280,0.01312,-0.02274,0.00124,-0.09201,-0.06436,-0.09480,-0.06292,-0.10765,-0.19828,-0.00719,-0.06436,-0.18641,0.02371,-0.11244,-0.01564,0.05297,-0.00612,0.09586,-0.14062,0.02405,-0.08371,-0.10135,-0.07121,-0.04353,-0.00583,-0.12704,0.08046,0.03782,-0.16152,0.14176,0.18331,0.11236,-0.02280,-0.11120,0.10195,-0.04323,0.11987,0.01894,0.09621,0.03457,0.06991,0.00057,0.17832,0.01257,0.04017
0,-0.01152,0.01776,0.11502,-0.11658,0.09375,-0.14050,-0.10028,-0.01625,0.06274,-0.17468,0.14910,0.17983,0.11915,0.11638,0.07420,-0.03763,-0.12249,-0.22966,-0.02628,-0.02857,-0.10356,-0.02013,-0.03289,-0.01676,-0.07007,-0.06573,-0.16951,-0.05243,-0.05029,-0.05063,-0.29054,0.04309,-0.08691,-0.15295,0.05866,-0.15610,0.01056,-0.20958,-0.12319,-0.26403,-0.20424,-0.25909,-0.12397,-0.10472,-0.02846,0.03837,-0.08000,0.07587,0.00303,-0.09276,-0.24178,-0.31598,-0.21155,-0.20635,-0.30702,-0.15541,-0.32932,-0.20923,-0.23655,0.00800,-0.11858,-0.18208,0.04978,-0.35717,-0.05871,-0.23275,-0.19310,0.00073,0.02775,-0.27814,-0.05403,0.01749,-0.12475,-0.01795,-0.13092,-0.01861,-0.05466,-0.03411,-0.14659,0.03582,-0.03554,-0.18864,-0.22531,-0.14434,-0.20229,-0.05061,0.08718,0.01131,-0.00530,-0.10975,0.03700,-0.06878,0.12852,-0.19589,-0.02646,-0.02110,-0.21186,-0.00723,0.05117,0.03659
0,0.24151,0.15896,-0.01123,0.00238,0.13716,0.09385,0.09370,-0.13041,0.03069,-0.03863,0.06543,0.03009,0.13359,0.07714,0.12708,0.00499,-0.03948,0.01743,0.06032,0.10364,0.29544,0.06916,-0.01828,0.04670,0.03895,0.13748,-0.06071,0.10370,0.11701,0.12851,0.04943,0.08916,-0.02575,0.07091,0.06943,0.16865,0.01461,0.21137,0.28555,-0.06823,0.18386,0.21119,0.08181,0.10766,0.13570,0.12057,0.12057,-0.01525,0.26822,0.26133,0.07215,0.00672,0.20509,0.09477,0.16567,0.11842,0.21814,0.21686,0.07299,0.00517,-0.01706,0.19981,0.01722,0.08257,0.07060,0.12179,-0.06992,0.13912,0.16904,0.12180,0.07807,0.11503,0.14126,-0.17988,0.28896,0.12835,0.02007,0.04220,0.12669,0.06177,-0.13356,0.27217,0.05097,0.16045,-0.01424,0.20527,0.07708,0.10630,-0.06195,0.16102,0.10642,0.16535,-0.02969,-0.01681,0.26008,-0.07768,0.01360,0.14001,0.03546,0.08361
0,0.07763,-0.06763,-0.02652,0.02215,-0.12105,-0.01392,0.02297,0.07095,-0.00620,-0.09205,-0.16635,-0.02400,0.08398,-0.11131,-0.04994,0.00800,-0.06321,-0.05664,-0.04454,-0.02805,0.03691,0.01241,0.00060,0.00977,0.03985,-0.10966,0.02071,-0.01171,-0.11210,-0.09691,-0.13893,0.05499,-0.00244,0.18182,0.12238,-0.24131,0.06722,-0.13915,-0.21789,-0.14939,0.06701,-0.09425,-0.07192,0.01103,0.02943,-0.15311,-0.04233,-0.05880,-0.08396,0.00992,-0.19704,-0.19136,-0.13145,0.03005,-0.06732,-0.17348,0.03960,-0.09441,-0.04231,-0.20303,-0.02465,0.01433,0.04569,0.06893,-0.10948,-0.03977,-0.10797,-0.07371,-0.12750,-0.04480,-0.18014,0.12657,-0.18637,0.02479,0.07978,0.01482,0.11818,-0.21718,-0.03104,-0.16657,-0.13844,-0.04680,-0.18397,0.02134,0.06247,-0.20830,-0.05686,0.14279,-0.06813,0.01498,0.15671,-0.04929,0.13463,0.18443,-0.05761,0.10153,0.16501,-0.07850,0.04932,0.14090
0,0.13182,0.05622,0.03171,-0.03074,-0.09489,0.12945,0.01810,0.02519,0.22126,0.11582,0.08377,0.06016,0.19715,0.21626,0.13634,0.10066,-0.16803,0.05277,0.02631,0.04760,0.13138,-0.23806,-0.02220,0.06053,-0.01435,-0.11057,0.11681,0.05640,-0.06959,0.05782,0.10734,0.02457,0.10299,0.02968,-0.01871,-0.09613,0.01027,0.03738,0.10468,0.00479,0.06130,-0.08158,-0.06400,0.00268,-0.09223,0.09485,0.05880,0.04013,0.04593,0.21403,-0.03500,-0.20822,0.03197,0.00716,-0.03926,-0.08506,-0.03068,0.03185,-0.03602,0.25612,-0.08049,-0.06301,-0.21176,0.04310,-0.18278,-0.03413,-0.00675,-0.04912,0.19682,0.12348,0.15709,-0.06190,0.14038,0.07831,0.10706,0.13407,-0.05854,-0.00890,0.12099,-0.22965,0.18840,0.09352,0.03475,0.06245,-0.06156,0.00744,0.15342,0.17410,0.31477,0.03856,-0.01916,-0.00405,-0.05382,0.04075,0.08729,0.04600,0.15940,0.02660,0.01547,-0.00780
0,0.22890,-0.03415,0.19178,-0.03183,-0.05992,0.22780,0.25688,-0.05965,0.18519,0.14211,-0.04549,0.06047,-0.11298,-0.11585,-0.00718,0.07298,0.19547,0.11808,0.07356,0.04218,0.03087,-0.02357,0.08342,-0.22910,-0.10028,-0.03870,0.00963,-0.03417,-0.03711,0.10358,-0.00775,-0.01236,-0.03830,-0.06066,-0.03477,0.00063,0.12736,0.00858,-0.14501,-0.04328,-0.06066,-0.16811,-0.24759,0.00483,0.03413,0.04161,-0.06189,0.04672,-0.00314,0.03257,-0.03838,-0.26862,-0.18765,-0.17458,-0.04145,-0.20939,-0.15184,0.05884,-0.13665,-0.02559,0.01072,-0.14523,-0.21764,-0.01658,0.05349,-0.01030,-0.18996,0.00205,-0.04117,0.08261,0.07870,-0.04360,-0.22337,-0.16364,0.08773,-0.02286,0.05148,0.00811,0.08494,0.13036,-0.05003,-0.03923,-0.00789,-0.14480,0.19211,0.03838,0.03706,0.05356,0.16554,0.02627,0.00516,-0.02922,0.04314,-0.01767,0.07568,-0.03355,0.11697,-0.08417,0.04613,0.12852
0,0.06450,-0.09053,0.08704,0.03758,-0.09878,-0.05492,0.13585,0.16482,0.06199,0.11556,0.09736,0.10782,0.20333,-0.07610,0.14211,0.03611,0.05173,0.04377,0.03631,-0.04897,0.09181,0.24038,0.06749,0.07278,0.00400,0.06079,0.11897,0.03514,0.02660,0.11212,-0.02019,0.09669,0.15329,0.20709,0.06189,0.20753,0.17407,-0.02914,-0.05144,0.03973,0.17300,0.06277,0.00984,0.22505,0.09844,-0.16238,0.10135,0.12159,0.09212,0.11451,0.06281,-0.06230,0.03249,-0.02497,-0.02364,-0.05662,0.11500,0.07961,0.02509,0.00507,0.06777,0.17815,-0.13007,0.10817,0.01605,-0.11768,-0.12364,-0.02018,0.09321,0.11074,-0.02228,0.17350,0.21428,0.11177,0.01321,0.18498,0.14827,0.15966,0.00746,-0.21017,0.28515,-0.08744,0.07025,0.31207,0.10721,0.16923,-0.07578,-0.10317,0.02146,0.18393,0.04035,-0.00438,0.09497,0.18346,-0.06916,-0.04565,-0.00341,0.18496,0.09901,0.28876
0,0.10054,0.17937,0.14340,0.16880,0.11102,0.07873,0.08342,0.06611,0.09403,0.00898,0.04973,0.19900,0.06956,0.02723,0.08971,0.15515,0.05191,0.29345,0.25397,0.05058,0.27631,0.06984,0.10989,0.23107,0.08941,0.12536,0.16023,-0.02046,0.31672,0.21267,0.18716,0.24968,0.13568,0.25448,0.03655,0.19194,0.22292,0.04732,0.22322,0.26878,0.29350,0.31870,0.26770,0.26694,0.28535,0.13143,0.17117,0.16522,0.35016,0.29185,0.33821,0.36068,0.35410,0.28523,0.38067,0.26903,0.22263,0.32128,0.15375,0.18884,0.43066,0.25929,0.25384,0.15319,0.33070,0.40669,0.23090,0.19957,0.22747,0.32113,0.22114,0.26134,0.16749,0.13448,0.14867,0.17844,0.14497,-0.09067,0.21552,0.01081,0.07232,0.22476,0.29323,0.26727,0.12840,0.24695,0.11380,0.00918,-0.01328,0.03220,0.04579,0.06480,-0.01502,0.10534,0.19699,-0.05517,0.28119,0.00247,0.08069,0.20552
0,-0.06809,0.08957,0.04781,0.16597,0.20322,0.03696,0.15048,0.27826,0.03908,0.27537,0.02338,0.11252,0.11083,0.11493,0.03197,0.05867,0.05317,0.15487,0.15749,0.34947,0.26642,0.08083,0.16684,0.23663,0.14257,0.13514,0.14986,0.23402,0.06503,0.11983,0.20194,0.18848,0.18368,0.12506,0.26153,0.37981,0.20912,0.15111,0.24784,0.12007,0.10061,0.18032,-0.07992,0.06415,0.14578,0.04612,0.07892,0.13907,0.01886,0.14279,0.12995,0.18594,0.29857,0.20000,0.18429,0.19140,0.20331,0.07787,0.16689,0.20792,0.03850,0.26055,0.28041,0.10729,0.14435,0.07861,0.23421,0.05592,0.13748,0.07145,0.15999,-0.02703,0.28251,0.05083,0.15069,0.12085,0.06330,0.04814,0.22799,0.07925,0.15644,0.04673,0.05977,0.16940,0.21298,0.10026,-0.02646,0.31358,0.02629,-0.04393,0.36808,0.06677,-0.04032,0.03633,0.14039,0.12179,0.01686,0.28374,0.04890,-0.01765
0,0.17241,0.13399,0.13674,0.14060,0.08925,0.15885,-0.02377,-0.03538,0.30565,0.18373,-0.04644,0.03073,0.15514,0.20806,0.18088,-0.08382,0.16798,0.17003,0.13430,0.07010,-0.00749,0.12299,0.16451,0.06972,0.15543,0.12930,0.09945,-0.03379,0.05282,0.19231,-0.00172,0.15668,0.31339,0.04651,0.05309,0.11321,0.11970,0.10800,0.16959,0.09251,0.28834,0.32615,0.18315,0.13665,0.25713,0.07853,-0.07614,0.24879,0.14763,0.18841,0.11542,0.03901,0.20635,0.23793,0.11639,0.17015,0.11096,0.29462,0.19138,0.14382,0.21674,0.10390,0.03588,0.32591,0.28170,0.13284,0.20951,0.19672,0.22506,0.06610,-0.01352,0.38789,0.09662,0.06806,0.08769,0.11060,0.00158,0.00832,0.09443,0.11505,0.16968,0.22033,0.06500,-0.05564,0.18153,0.22267,0.13404,0.17665,0.19255,0.21263,0.10215,0.05755,0.15341,0.07449,0.18168,0.14925,0.21672,0.06324,0.08781,0.16762
